,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb_lstm,param_nb_dense,param_lstm_units,param_lstm_dropout,param_epochs,param_dropout_rate,param_dense_units,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,50.69191565513611,4.5373860197967035,2.356331539154053,0.08259709132257459,2,0,16,0.5,20,0.5,32,1000,"{'nb_lstm': 2, 'nb_dense': 0, 'lstm_units': 16, 'lstm_dropout': 0.5, 'epochs': 20, 'dropout_rate': 0.5, 'dense_units': 32, 'batch_size': 1000}",0.7104700803756714,0.5240641832351685,0.7026737928390503,0.6395722031593323,0.6791443824768066,0.6511849284172058,0.06817932636371775,3
1,86.2731433391571,0.7479110061860228,1.624237585067749,0.042309016243092565,1,2,8,0.2,60,0.5,8,1000,"{'nb_lstm': 1, 'nb_dense': 2, 'lstm_units': 8, 'lstm_dropout': 0.2, 'epochs': 60, 'dropout_rate': 0.5, 'dense_units': 8, 'batch_size': 1000}",0.3183760643005371,0.6106951832771301,0.3754010796546936,0.6449198126792908,0.7208555936813354,0.5340495467185974,0.157954205882314,5
2,380.54685111045836,3.2459133174258383,2.668690633773804,0.035695472910723086,1,1,16,0.5,40,0.8,8,100,"{'nb_lstm': 1, 'nb_dense': 1, 'lstm_units': 16, 'lstm_dropout': 0.5, 'epochs': 40, 'dropout_rate': 0.8, 'dense_units': 8, 'batch_size': 100}",0.567307710647583,0.6299465298652649,0.6748663187026978,0.44491979479789734,0.34117648005485535,0.5316433668136596,0.12267590156964718,6
3,573.6014412403107,6.432940632664287,2.6134592056274415,0.05923199392845535,1,0,8,0.2,60,0.8,8,100,"{'nb_lstm': 1, 'nb_dense': 0, 'lstm_units': 8, 'lstm_dropout': 0.2, 'epochs': 60, 'dropout_rate': 0.8, 'dense_units': 8, 'batch_size': 100}",0.7297008633613586,0.7176470756530762,0.7197861075401306,0.729411780834198,0.7486631274223328,0.7290417909622192,0.010964263094253076,1
4,577.3983992099762,4.585849868099007,2.562313938140869,0.044545443280053304,1,2,16,0.5,60,0.8,8,100,"{'nb_lstm': 1, 'nb_dense': 2, 'lstm_units': 16, 'lstm_dropout': 0.5, 'epochs': 60, 'dropout_rate': 0.8, 'dense_units': 8, 'batch_size': 100}",0.6153846383094788,0.07593582570552826,0.0673796758055687,0.2877005338668823,0.6139037609100342,0.3320608869194984,0.24385724723390353,7
5,1045.2657165050507,8.561107587249154,6.722819089889526,0.1595947466510711,4,2,32,0.5,40,0.8,32,100,"{'nb_lstm': 4, 'nb_dense': 2, 'lstm_units': 32, 'lstm_dropout': 0.5, 'epochs': 40, 'dropout_rate': 0.8, 'dense_units': 32, 'batch_size': 100}",0.07799145579338074,0.07593582570552826,0.0673796758055687,0.2877005338668823,0.6139037609100342,0.22458225041627883,0.21159037140219183,8
6,163.59445271492004,0.3520991934308654,2.649543619155884,0.04954533749255537,2,1,8,0.8,40,0.5,8,500,"{'nb_lstm': 2, 'nb_dense': 1, 'lstm_units': 8, 'lstm_dropout': 0.8, 'epochs': 40, 'dropout_rate': 0.5, 'dense_units': 8, 'batch_size': 500}",0.6463675498962402,0.6278074979782104,0.5978609919548035,0.44064170122146606,0.696256697177887,0.6017868876457214,0.08668591152718841,4
7,63.0852433681488,0.9165272498042839,3.185990905761719,0.08241251918921702,3,2,8,0.8,20,0.5,8,1000,"{'nb_lstm': 3, 'nb_dense': 2, 'lstm_units': 8, 'lstm_dropout': 0.8, 'epochs': 20, 'dropout_rate': 0.5, 'dense_units': 8, 'batch_size': 1000}",0.07799145579338074,0.07593582570552826,0.0673796758055687,0.2877005338668823,0.6139037609100342,0.22458225041627883,0.21159037140219183,8
8,911.5757876396179,7.081407129800523,4.039158582687378,0.08119621593997728,2,0,32,0.2,60,0.2,8,100,"{'nb_lstm': 2, 'nb_dense': 0, 'lstm_units': 32, 'lstm_dropout': 0.2, 'epochs': 60, 'dropout_rate': 0.2, 'dense_units': 8, 'batch_size': 100}",0.7158119678497314,0.6716577410697937,0.6352941393852234,0.7122994661331177,0.6470588445663452,0.6764244318008423,0.03290943965700759,2
9,222.01387357711792,0.3036629218221763,4.060412406921387,0.10308772409981494,4,1,32,0.5,40,0.8,8,500,"{'nb_lstm': 4, 'nb_dense': 1, 'lstm_units': 32, 'lstm_dropout': 0.5, 'epochs': 40, 'dropout_rate': 0.8, 'dense_units': 8, 'batch_size': 500}",0.07799145579338074,0.07593582570552826,0.0673796758055687,0.2877005338668823,0.6139037609100342,0.22458225041627883,0.21159037140219183,8
